Time,Channel A,Channel B
(ms),(mV),(mV)

-500.36734343,115.87880000,-368.52620000
-500.20350343,115.87880000,-372.90560000
-500.03966343,115.87880000,-368.52620000
-499.87582343,115.87880000,-372.90560000
-499.71198343,115.87880000,-368.52620000
-499.54814343,120.22770000,-368.52620000
-499.38430343,120.22770000,-368.52620000
-499.22046343,120.22770000,-372.90560000
-499.05662343,120.22770000,-372.90560000
-498.89278343,124.57650000,-368.52620000
-498.72894344,124.57650000,-368.52620000
-498.56510344,128.92540000,-377.28500000
-498.40126344,133.27430000,-368.52620000
-498.23742344,133.27430000,-368.52620000
-498.07358344,137.62320000,-372.90560000
-497.90974344,141.95680000,-372.90560000
-497.74590344,146.30570000,-368.52620000
-497.58206344,155.00350000,-364.14690000
-497.41822344,159.35240000,-368.52620000
-497.25438344,163.70130000,-372.90560000
-497.09054345,172.39900000,-372.90560000
-496.92670345,172.39900000,-368.52620000
-496.76286345,181.09680000,-364.14690000
-496.59902345,185.44570000,-372.90560000
-496.43518345,185.44570000,-372.90560000
-496.27134345,189.79460000,-368.52620000
-496.10750345,189.79460000,-372.90560000
-495.94366345,189.79460000,-372.90560000
-495.77982345,185.44570000,-368.52620000
-495.61598345,185.44570000,-368.52620000
-495.45214346,172.39900000,-364.14690000
-495.28830346,168.05020000,-372.90560000
-495.12446346,155.00350000,-377.28500000
-494.96062346,146.30570000,-368.52620000
-494.79678346,137.62320000,-372.90560000
-494.63294346,124.57650000,-364.14690000
-494.46910346,115.87880000,-377.28500000
-494.30526346,107.18100000,-368.52620000
-494.14142346,102.83210000,-368.52620000
-493.97758346,98.48322000,-368.52620000
-493.81374347,94.13434000,-368.52620000
-493.64990347,102.83210000,-364.14690000
-493.48606347,107.18100000,-368.52620000
-493.32222347,120.22770000,-368.52620000
-493.15838347,128.92540000,-368.52620000
-492.99454347,146.30570000,-368.52620000
-492.83070347,159.35240000,-372.90560000
-492.66686347,172.39900000,-368.52620000
-492.50302347,181.09680000,-368.52620000
-492.33918347,189.79460000,-368.52620000
-492.17534348,189.79460000,-368.52620000
-492.01150348,185.44570000,-368.52620000
-491.84766348,176.74790000,-368.52620000
-491.68382348,159.35240000,-372.90560000
-491.51998348,146.30570000,-368.52620000
-491.35614348,128.92540000,-368.52620000
-491.19230348,115.87880000,-364.14690000
-491.02846348,102.83210000,-368.52620000
-490.86462348,98.48322000,-359.76740000
-490.70078348,98.48322000,-368.52620000
-490.53694349,102.83210000,-364.14690000
-490.37310349,111.52990000,-368.52620000
-490.20926349,124.57650000,-359.76740000
-490.04542349,141.95680000,-364.14690000
-489.88158349,155.00350000,-372.90560000
-489.71774349,172.39900000,-359.76740000
-489.55390349,185.44570000,-359.76740000
-489.39006349,189.79460000,-364.14690000
-489.22622349,185.44570000,-368.52620000
-489.06238349,172.39900000,-359.76740000
-488.89854350,159.35240000,-368.52620000
-488.73470350,141.95680000,-359.76740000
-488.57086350,124.57650000,-364.14690000
-488.40702350,111.52990000,-359.76740000
-488.24318350,102.83210000,-368.52620000
-488.07934350,98.48322000,-364.14690000
-487.91550350,98.48322000,-364.14690000
-487.75166350,111.52990000,-368.52620000
-487.58782350,128.92540000,-364.14690000
-487.42398350,146.30570000,-364.14690000
-487.26014351,168.05020000,-364.14690000
-487.09630351,181.09680000,-359.76740000
-486.93246351,189.79460000,-364.14690000
-486.76862351,185.44570000,-355.38800000
-486.60478351,172.39900000,-355.38800000
-486.44094351,155.00350000,-359.76740000
-486.27710351,133.27430000,-359.76740000
-486.11326351,111.52990000,-359.76740000
-485.94942351,98.48322000,-359.76740000
-485.78558351,98.48322000,-359.76740000
-485.62174352,107.18100000,-359.76740000
-485.45790352,128.92540000,-351.00860000
-485.29406352,155.00350000,-359.76740000
-485.13022352,172.39900000,-355.38800000
-484.96638352,185.44570000,-355.38800000
-484.80254352,189.79460000,-355.38800000
-484.63870352,172.39900000,-359.76740000
-484.47486352,150.65460000,-359.76740000
-484.31102352,120.22770000,-355.38800000
-484.14718352,102.83210000,-359.76740000
-483.98334353,94.13434000,-359.76740000
-483.81950353,102.83210000,-359.76740000
-483.65566353,128.92540000,-346.62920000
-483.49182353,155.00350000,-355.38800000
-483.32798353,176.74790000,-359.76740000
-483.16414353,189.79460000,-355.38800000
-483.00030353,176.74790000,-359.76740000
-482.83646353,155.00350000,-355.38800000
-482.67262353,124.57650000,-355.38800000
-482.50878353,102.83210000,-355.38800000
-482.34494354,94.13434000,-359.76740000
-482.18110354,107.18100000,-355.38800000
-482.01726354,133.27430000,-355.38800000
-481.85342354,163.70130000,-359.76740000
-481.68958354,185.44570000,-355.38800000
-481.52574354,185.44570000,-355.38800000
-481.36190354,163.70130000,-355.38800000
-481.19806354,137.62320000,-355.38800000
-481.03422354,111.52990000,-351.00860000
-480.87038354,94.13434000,-342.24980000
-480.70654355,102.83210000,-355.38800000
-480.54270355,124.57650000,-351.00860000
-480.37886355,155.00350000,-359.76740000
-480.21502355,181.09680000,-355.38800000
-480.05118355,185.44570000,-351.00860000
-479.88734355,172.39900000,-346.62920000
-479.72350355,141.95680000,-355.38800000
-479.55966355,115.87880000,-351.00860000
-479.39582355,98.48322000,-346.62920000
-479.23198355,98.48322000,-346.62920000
-479.06814356,120.22770000,-359.76740000
-478.90430356,155.00350000,-351.00860000
-478.74046356,176.74790000,-355.38800000
-478.57662356,189.79460000,-351.00860000
-478.41278356,172.39900000,-359.76740000
-478.24894356,141.95680000,-342.24980000
-478.08510356,111.52990000,-355.38800000
-477.92126356,98.48322000,-342.24980000
-477.75742356,102.83210000,-351.00860000
-477.59358356,128.92540000,-346.62920000
-477.42974357,163.70130000,-355.38800000
-477.26590357,185.44570000,-346.62920000
-477.10206357,185.44570000,-355.38800000
-476.93822357,155.00350000,-342.24980000
-476.77438357,124.57650000,-342.24980000
-476.61054357,98.48322000,-355.38800000
-476.44670357,98.48322000,-342.24980000
-476.28286357,124.57650000,-342.24980000
-476.11902357,163.70130000,-337.87040000
-475.95518357,185.44570000,-346.62920000
-475.79134358,181.09680000,-337.87040000
-475.62750358,150.65460000,-342.24980000
-475.46366358,115.87880000,-342.24980000
