Time,Channel A
(ms),(mV)

-117.99564213,137.62320000
-117.97516213,150.65460000
-117.95468213,159.35240000
-117.93420213,168.05020000
-117.91372213,172.39900000
-117.89324213,163.70130000
-117.87276213,150.65460000
-117.85228213,137.62320000
-117.83180213,124.57650000
-117.81132213,120.22770000
-117.79084213,120.22770000
-117.77036213,133.27430000
-117.74988213,146.30570000
-117.72940213,163.70130000
-117.70892213,168.05020000
-117.68844213,172.39900000
-117.66796213,163.70130000
-117.64748213,150.65460000
-117.62700213,137.62320000
-117.60652213,124.57650000
-117.58604213,120.22770000
-117.56556213,120.22770000
-117.54508213,133.27430000
-117.52460213,146.30570000
-117.50412213,159.35240000
-117.48364213,168.05020000
-117.46316213,172.39900000
-117.44268213,163.70130000
-117.42220213,155.00350000
-117.40172213,137.62320000
-117.38124213,128.92540000
-117.36076213,120.22770000
-117.34028213,120.22770000
-117.31980213,128.92540000
-117.29932213,141.95680000
-117.27884213,155.00350000
-117.25836213,168.05020000
-117.23788213,172.39900000
-117.21740213,168.05020000
-117.19692213,155.00350000
-117.17644213,146.30570000
-117.15596213,133.27430000
-117.13548213,120.22770000
-117.11500213,120.22770000
-117.09452213,124.57650000
-117.07404213,137.62320000
-117.05356213,150.65460000
-117.03308213,163.70130000
-117.01260213,172.39900000
-116.99212213,172.39900000
-116.97164213,163.70130000
-116.95116213,150.65460000
-116.93068213,137.62320000
-116.91020213,124.57650000
-116.88972213,120.22770000
-116.86924213,120.22770000
-116.84876213,128.92540000
-116.82828213,141.95680000
-116.80780213,155.00350000
-116.78732213,168.05020000
-116.76684213,172.39900000
-116.74636213,168.05020000
-116.72588213,155.00350000
-116.70540213,141.95680000
-116.68492213,133.27430000
-116.66444213,120.22770000
-116.64396213,120.22770000
-116.62348213,124.57650000
-116.60300213,137.62320000
-116.58252213,150.65460000
-116.56204213,163.70130000
-116.54156213,172.39900000
-116.52108213,172.39900000
-116.50060213,163.70130000
-116.48012213,150.65460000
-116.45964213,137.62320000
-116.43916214,124.57650000
-116.41868214,120.22770000
